objectsWith2,total2Objects,ImageID,_nObjects_,_Object0_,_Object0_x,_Object0_y,_Object0_width,_Object0_height,_Object1_,_Object1_x,_Object1_y,_Object1_width,_Object1_height,_Object2_,_Object2_x,_Object2_y,_Object2_width,_Object2_height,_Object3_,_Object3_x,_Object3_y,_Object3_width,_Object3_height,_Object4_,_Object4_x,_Object4_y,_Object4_width,_Object4_height,_Object5_,_Object5_x,_Object5_y,_Object5_width,_Object5_height,_Object6_,_Object6_x,_Object6_y,_Object6_width,_Object6_height,_Object7_,_Object7_x,_Object7_y,_Object7_width,_Object7_height,_Object8_,_Object8_x,_Object8_y,_Object8_width,_Object8_height,_Object9_,_Object9_x,_Object9_y,_Object9_width,_Object9_height,_Object10_,_Object10_x,_Object10_y,_Object10_width,_Object10_height,_Object11_,_Object11_x,_Object11_y,_Object11_width,_Object11_height,_Object12_,_Object12_x,_Object12_y,_Object12_width,_Object12_height,_Object13_,_Object13_x,_Object13_y,_Object13_width,_Object13_height,_Object14_,_Object14_x,_Object14_y,_Object14_width,_Object14_height,_Object15_,_Object15_x,_Object15_y,_Object15_width,_Object15_height,_Object16_,_Object16_x,_Object16_y,_Object16_width,_Object16_height,_Object17_,_Object17_x,_Object17_y,_Object17_width,_Object17_height,_Object18_,_Object18_x,_Object18_y,_Object18_width,_Object18_height,_Object19_,_Object19_x,_Object19_y,_Object19_width,_Object19_height,_Object20_,_Object20_x,_Object20_y,_Object20_width,_Object20_height,_Object21_,_Object21_x,_Object21_y,_Object21_width,_Object21_height,_Object22_,_Object22_x,_Object22_y,_Object22_width,_Object22_height,_Object23_,_Object23_x,_Object23_y,_Object23_width,_Object23_height,_Object24_,_Object24_x,_Object24_y,_Object24_width,_Object24_height,_Object25_,_Object25_x,_Object25_y,_Object25_width,_Object25_height,_Object26_,_Object26_x,_Object26_y,_Object26_width,_Object26_height,objectNameHolder,xHolder,yHolder,heightHolder,widthHolder,new_column_placement,column
_Object4_,1,Hframe (1).JPG,5,2,0.5268939394,0.9351851852,0.0287878788,0.1296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5268939394,0.9351851852,0.1296296296,0.0287878788,2,28
,0,Hframe (100).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5268939394,0.9351851852,0.1296296296,0.0287878788,1,28
"_Object6_, _Object7_, _Object8_",3,Hframe (1000).JPG,9,2,0.3849431818,0.5723905724,0.0070075758,0.063973064,2,0.4797348485,0.5752525253,0.0049242424,0.0643097643,2,0.5760416667,0.578956229,0.0051136364,0.0636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5760416667,0.578956229,0.0636363636,0.0051136364,4,28
"_Object4_, _Object5_",2,Hframe (10001).JPG,6,2,0.7322916667,0.8732323232,0.0232954545,0.2535353535,2,0.8804924242,0.8240740741,0.0325757576,0.3518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8804924242,0.8240740741,0.3518518519,0.0325757576,3,28
_Object4_,1,Hframe (10005).JPG,5,2,0.6754734848,0.1927609428,0.0373106061,0.1996632997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6754734848,0.1927609428,0.1996632997,0.0373106061,2,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10009).JPG,8,2,0.1150568182,0.4215488215,0.0376893939,0.5400673401,2,0.5857007576,0.3592592593,0.0259469697,0.3952861953,2,0.8535037879,0.3225589226,0.0221590909,0.3111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8535037879,0.3225589226,0.3111111111,0.0221590909,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (1001).JPG,7,2,0.5394886364,0.8161616162,0.0308712121,0.3676767677,2,0.4508522727,0.8863636364,0.0183712121,0.2272727273,2,0.3974431818,0.928956229,0.0142045455,0.1420875421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3974431818,0.928956229,0.1420875421,0.0142045455,4,28
"_Object4_, _Object5_",2,Hframe (10010).JPG,6,2,0.6569128788,0.8572390572,0.0195075758,0.2565656566,2,0.8501893939,0.8063973064,0.0287878788,0.3353535354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8501893939,0.8063973064,0.3353535354,0.0287878788,3,28
,0,Hframe (10011).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8501893939,0.8063973064,0.3353535354,0.0287878788,1,28
,0,Hframe (10013).JPG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8501893939,0.8063973064,0.3353535354,0.0287878788,1,28
_Object4_,1,Hframe (10014).JPG,5,2,0.6958333333,0.1213804714,0.0401515152,0.2111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6958333333,0.1213804714,0.2111111111,0.0401515152,2,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10016).JPG,8,2,0.2868371212,0.4397306397,0.0179924242,0.2255892256,2,0.4321022727,0.4420875421,0.0255681818,0.2760942761,2,0.6616477273,0.4601010101,0.0354166667,0.3599326599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6616477273,0.4601010101,0.3599326599,0.0354166667,4,28
"_Object6_, _Object7_, _Object8_",3,Hframe (10017).JPG,10,2,0.3654356061,0.7567340067,0.0024621212,0.0326599327,2,0.406344697,0.7555555556,0.0024621212,0.0303030303,2,0.4478219697,0.7547138047,0.0024621212,0.031986532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4478219697,0.7547138047,0.031986532,0.0024621212,4,28
